               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.023744,           0.0076023,            0.012495,             0.97109,              0.9888,             0.99457,             0.82352,            0.011247,           0.0038155,           0.0076761,           0.0071884,           0.0071884,           0.0071884
                 144,            0.022324,           0.0075058,           0.0086696,             0.96984,             0.99153,             0.99298,             0.81347,            0.011311,           0.0038002,            0.007779,           0.0071686,           0.0071686,           0.0071686
                 145,            0.022067,           0.0073367,           0.0079814,             0.97025,             0.99567,             0.99436,             0.80356,            0.011358,           0.0040014,           0.0072595,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022161,           0.0065128,            0.010564,             0.97022,              0.9981,               0.995,             0.77885,             0.01403,           0.0040029,           0.0059894,            0.007129,            0.007129,            0.007129
                 147,            0.024112,           0.0081706,           0.0090662,             0.99038,             0.99493,               0.995,             0.80042,            0.012194,           0.0037788,           0.0031131,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023974,           0.0074317,           0.0090216,             0.99723,                   1,               0.995,             0.74343,            0.014238,           0.0039254,           0.0024539,           0.0070894,           0.0070894,           0.0070894
                 149,            0.022316,           0.0078371,            0.010109,              0.9985,                   1,               0.995,             0.84552,            0.013876,            0.003896,           0.0023299,           0.0070696,           0.0070696,           0.0070696
                 150,            0.021821,           0.0084585,           0.0084082,             0.99856,                   1,               0.995,             0.86097,            0.015119,           0.0036967,           0.0022611,           0.0070498,           0.0070498,           0.0070498
                 151,             0.02427,           0.0071915,           0.0097331,             0.99824,                   1,               0.995,              0.8725,            0.013332,           0.0036594,           0.0022269,             0.00703,             0.00703,             0.00703
                 152,            0.025368,           0.0077315,            0.010334,             0.99845,                   1,               0.995,             0.74092,            0.013444,           0.0036335,           0.0021433,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022655,           0.0076269,            0.008998,             0.99858,                   1,               0.995,             0.79505,            0.012127,           0.0036715,           0.0020692,           0.0069904,           0.0069904,           0.0069904
                 154,            0.021386,           0.0071684,            0.008515,             0.99053,             0.98252,             0.99491,             0.70894,            0.016214,           0.0039908,           0.0028189,           0.0069706,           0.0069706,           0.0069706
